XQDdHH_Ga3i8K_rating,z9E0IG_rating_category,ZmyHeo_review_text,_2NsDsF_AwS1CA_reviewer_name,MztJPv_reviewer_details,_2NsDsF_review_date,tl9VpF_thumbs_up,tl9VpF_thumbs_down,model_name
4.0,Pretty good,Camera is awesome and the gaming performance is also too much good but the device has heating issues,Archna Sharma,"Certified Buyer, Faridabad",3 months ago,341,88,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Perfect product!,"One of the best phones in the budget segment, highly recommend. Stylus is the best part of this phone and the AI implementation is just awesome.",Ashutosh Bachhav,"Certified Buyer, Pune",3 months ago,46,7,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Worth every penny,Amazing 😍 camera quality is very good ☺️,Siddhi  Awagan,"Certified Buyer, Akola",3 months ago,50,9,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Best in the market!,"My favourite Brand Motorola I am using this company's mobile for last 10 years, it is very good The most important thing about it is its camera quality, that is why I like it the most Camera 4.8 ✨,battery 4.3✨, mobile Function 4.6 ✨, design -4.7✨It is very good it is a very good mobile in low budget",Vikas Kumawat,"Certified Buyer, Delhi Division",3 months ago,191,53,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Terrific purchase,"This is my 3rd Motorola phone, It looks like S25 , feeling rich 😉",Himalay  Patel,"Certified Buyer, Ahmedabad",3 months ago,343,104,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Worth every penny,Really great features provided by moto.,GOPINATH SINGH,"Certified Buyer, Bangalore",3 months ago,277,82,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Fabulous!,The best esim enabled phone at this price range. The best mobile maker. Till now I have not used it properly. Will update the same after a week,Anamika C,"Certified Buyer, Bengaluru",3 months ago,90,23,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Worth the money,Writing this review after 5 days of usage. There are some optimizations needed that moto needs to fix with updates though it's understandable since it's been a month only since the phones launched. The camera needs improvement. As of now the photo looks good until processing. Once processed it's sort of distorted. There is an issue with edge detection as well. HDR settings can't be found in camera due to which these issues are mostly for. Battery lasts for me 1.5days but that's mainly because...,Shrabani Dutta,"Certified Buyer, Hooghly",2 months ago,13,1,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Good quality product,The ph is amazing for this budget,Kapil Dev  Mondal,"Certified Buyer, South Twenty Four Parganas District",3 months ago,39,9,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Value-for-money,If you are interested in using a stylus choose this.. Otherwise better options are available,arun mr,"Certified Buyer, Peramangalam",3 months ago,36,8,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Pretty good,"Good mobile but performance is quite low due to old gen processor, and camera is average. I know Motorola is provide good features in cheap price that's why they have to cost cut in some sections. Overall good phone but don't buy of you need a good camera phone or a good performance phone.",Pratyay Debnath,"Certified Buyer, Koch Bihar",3 months ago,20,3,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Worth the money,Just go for if,Mazhar Imam,"Certified Buyer, Biharsharif",3 months ago,15,2,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Wonderful,"The inbuilt stylus adds a premium look and feel to the smartphone. It's fun navigating and using the smartphone with the stylus. However I found two issues which I would like to share: 1. The stylus gets stuck in its slot sometimes and then you have to insert your nails to make it 'click' again in order to remove it. 2. After applying a protective glass, the smoothness and touch response of the stylus in decreases in some areas of the screen.",Murtaza Raghib Murtaza Raghib,"Certified Buyer, Visakhapatnam",2 months ago,32,8,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Mind-blowing purchase,Samsung s25 ultra ka little brother very low price thanks yuo moto appreciate,MOHD ARIF,"Certified Buyer, Bhopal",3 months ago,22,4,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Awesome,Good👍 handset,Ayush Kasera,"Certified Buyer, Hazaribagh",3 months ago,15,2,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Terrific,This price range included 3.5 mm jack+ perfect display+outstanding design+awesome camera+esim support +NFC .. Overall best Budget smartphones,Šöňû Ň,"Certified Buyer, Chakan",3 months ago,10,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Mind-blowing purchase,"Fully satisfied✌️ including camera,audio, video, display, performance, battery backup just go for it 👍",Neha Singh,"Certified Buyer, Ranchi",2 months ago,7,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Awesome,Super quality and excellent performance,Neeraj Kumar,"Certified Buyer, Jalgaon",3 months ago,7,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Really Nice,All good! But Don't no have own dialer gallery like more apps stylus pen 3rd class material not working properly,Shiv  Mahajan,"Certified Buyer, Amritsar",3 months ago,6,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Mind-blowing purchase,Completely fine,Srikanth Tummala,"Certified Buyer, Hyderabad",3 months ago,171,54,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Best in the market!,"Value for money at its peak, I was using google pixel 6 till now, I can't find a single flaw with this phone, performance vise and gaming vice also not too bad, camera display outstanding in this price range.",Flipkart Customer,"Certified Buyer, Thenhippalam",3 months ago,30,9,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Must buy!,"Such a beautiful camera, that even fails iphone, this is my experience SPen is superb, makes feels for Samsung galaxy Wireless charging is a plus",sagar kalra,"Certified Buyer, Kaithal",3 months ago,25,7,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Fabulous!,Beautiful phone I love the colour The quality of the camera is amazing stylus is very good 😊😊 thank you so much for quick delivery,Anushree Dwivedi,"Certified Buyer, Vrindavan",3 months ago,20,5,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Fabulous!,"Useful for professionals who needs to write something, You can write and ask chatgpt directly",satya pavan rayudu,"Certified Buyer, Chennai",3 months ago,12,2,motorola-edge-60-pro-pantone-shadow-256-gb
