XQDdHH_Ga3i8K_rating,z9E0IG_rating_category,ZmyHeo_review_text,_2NsDsF_AwS1CA_reviewer_name,MztJPv_reviewer_details,_2NsDsF_review_date,tl9VpF_thumbs_up,tl9VpF_thumbs_down,model_name
5.0,Must buy!,"Like this mobile, overall great ! You can go for it , like the battery and storage. MOTOROLA 💜",Flipkart Customer,"Certified Buyer, New Delhi",3 months ago,25,8,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Best in the market!,"Awesome phone,value for money",supriyo sarkar,"Certified Buyer, Gobardanga",3 months ago,9,2,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Wonderful,Nice product. Using for last 1 week and it's performing well. Sometimes battery drains too much not sure which app is doing that. Overall a good experience with stylus,Varun Nahar,"Certified Buyer, Pimpri Chinchwad",3 months ago,4,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Terrific,Camera very good value for money mobile 💯🥰💯,Subhash Gurjarwadiya,"Certified Buyer, Ujjain",3 months ago,4,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Perfect product!,I used this mobile from 1 week i didn't face any issue,Nidhin Varghese,"Certified Buyer, Mysore District",3 months ago,4,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Wonderful,Within this price it is awesome 🌞,Subhajit Sen,"Certified Buyer, Burdwan",3 months ago,4,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Excellent,excellent,Ranajit  Bhunia,Certified Buyer,3 months ago,4,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Fair,"Phone is good, but ekart service is not good",Swapnil Pangam,"Certified Buyer, Ratnagiri",3 months ago,5,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Excellent,Best smart phone at this price range. Very good and feel satisfied .. camera is awesome and overall g👍,Logesh,"Certified Buyer, Chennai",2 months ago,6,1,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Just wow!,Very nice look.,Kamatchi Murali,"Certified Buyer, Chennai",3 months ago,6,1,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Value-for-money,"Pros Camera  , design , stylus , wireless charging, turbo charging, moto AI , durable (Can handle  2-3 feet drop easily )  , one hand operation Cons - Battery is not efficient as it requires charging under normal usage - On a 4G network the voice breaks and calls drop - The screen can get scratch under normal usage Overall at this price point it is a decent buy",GAURAV HARISH,"Certified Buyer, New Delhi",3 months ago,10,2,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Pretty good,"Very nice mobile awesome 👍👍👍 best performance , camera quality is super, one of the best mobile, I'm so happy 😊",Flipkart Customer,Certified Buyer,2 months ago,3,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Value-for-money,"Overall good, camera quality is also good at this price, and the design  is also pretty gud which gives a premium finish phone, but they could have given a better processer and they could have increased the battery back up or atleast given with an hypercharger , as it's a turbo charger so the charging speed is low",Flipkart Customer,"Certified Buyer, Bengaluru",3 months ago,5,1,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Just okay,Has big time heating issue...opened the box and installed the apps and the back side was hot...didn't even use for 20mins...the stylus option is good....,Raktim Baruah,"Certified Buyer, Bengaluru",3 months ago,23,10,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Classy product,Every thing is just perfect....💗,Amrita Pattanaik,"Certified Buyer, Cuttack District",22 days ago,3,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Just wow!,Best phone under this price range.,Ravi Shekhar,"Certified Buyer, Munger",3 months ago,3,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Simply awesome,Super phones awesome features,Bhagath Jadala,"Certified Buyer, Jagtial District",3 months ago,3,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Super!,"I bought it for my 20 year old son, whom I found a bit creative. He was searching for a stylus for his lenovo tab but couldn't get a good one and as I can't afford a Samsung phone and his 2 year old Pixel 6a broke down. The ratings I have given from a basic standard The foollo are great at this price point. 1. Stylus, extremely good. 2. Wireless charging with Portronics Cyro and a standard case converted to magsafe. 3. Dedicated SD card slot. 4. NFC compatible 5. 3.5 mm Jack 6. Flat screen? 7...",George Anjilickal P,"Certified Buyer, Ernakulam",3 months ago,5,1,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Decent product,It has an issue with battery backup. The battery keeps on discharging rapidly even in idle mode.,HIRALAL GORANE,"Certified Buyer, Jalgaon",2 months ago,4,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Useless product,Poor performance. 7s gen 2 doesn't perform well and the phone heats up during the normal browsing. Go for another phone with at least 7300 or 7 gen 3 processor,Nikhil Solanki,"Certified Buyer, Vadodara",3 months ago,4,1,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Terrific,Feels good in hand like a flagship phone. Stylus makes this phone more value for money in this price range.,Bikash  Maharana,"Certified Buyer, Anugul",3 months ago,4,1,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Very Good,Value for money for sure. Just perform would have been better if the processor was a bit good.,Sachin Kalve,"Certified Buyer, Pune",3 months ago,2,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Wonderful,"This is good phone in this price range. Cam good, battery good, performance smooth. Overall nice 👍 note: no gallary option direct google photos, No dual physical sim, only one physical sim and another esim(u need to visit your sim provider gallary)",Vaishnavi  Shirke,"Certified Buyer, Mumbai",3 months ago,2,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Delightful,"Very slim, low weight, and smoth functioning",vipul prajapati,Certified Buyer,3 months ago,2,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Decent product,Camara is good in the price range 4/5 Battery is average like normal smart phone but as new phone it's seems more power consuming 3/5 Display is good enough in budget 4/5 Overall performance is decent enough for normal use daily task social media etc but I felt it's have little heating issue and in new mobile it's not good thing so overall not expecting performance 3/5 And Only reason to buy this mobile is stylus else fusion 60 or even edge neo 60 is better option this but if you are looking...,Chandra Kumar  Golhani,"Certified Buyer, Lakhnadon",3 months ago,3,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Mind-blowing purchase,Just an unbelievable deal❤️❤️,Raviraj Kumar,"Certified Buyer, Narkatiaganj",3 months ago,2,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Great product,Camera is the best 😍,bhushan kumar,"Certified Buyer, Vaishali District",2 months ago,2,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Mind-blowing purchase,What a phn man this is awesome fabulous fantastic bt bettry is very drain soon a half day bt charging is very fast tnx moto n flipkart an partner ekart,Narendra Bharti,"Certified Buyer, Gurugram",3 months ago,2,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Wonderful,Best phone in this segment,Flipkart Customer,"Certified Buyer, Sangamner",3 months ago,3,1,motorola-edge-60-pro-pantone-shadow-256-gb
,Not good,Heating issue,Flipkart Customer,"Certified Buyer, Dumka",3 months ago,20,7,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Terrible product,Just got delivered while setting up the mobile heat up unable to hold properly. Remaining is good for will update in few days.,Abdul Rahman,"Certified Buyer, Hyderabad",2 months ago,2,1,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Wonderful,Very good for professionals.,Bhupendra kumar  Dewangan,"Certified Buyer, Varanasi",3 months ago,2,1,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Delightful,Good,Flipkart Customer,"Certified Buyer, Nedumpana",4 days ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Pretty good,Over all nice phone... Rating 4.5,Vikesh Bhatt,"Certified Buyer, Ghaziabad",22 days ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Very Good,It's okay,Flipkart Customer,"Certified Buyer, Didwana",22 days ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Worth the money,Good product,Manas Kumar Sahu,"Certified Buyer, Cuttack",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Very Good,All good except that the camera for selfies is good only for clear skin types. Opening locks with fingers doesn't work but does work with the face.,Aruna Pradhan,"Certified Buyer, Kolkata",1 month ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Good quality product,Budget stylus mobile,Muddassir Gazi,"Certified Buyer, Akola",2 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Delightful,The product is too good quality and performance also very high ... everything is good in the mobile but the battery performance is too low.. battery is draining too fast.,Althaaf  Shaik,"Certified Buyer, Hyderabad",2 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Wonderful,Awesome product... very light to carry... 6000 mAh would have been better... This is my 4th Moto product... Performance...Yet to experience!!,Flipkart Customer,"Certified Buyer, Harihar",3 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Nice product,Good,SOORAJ PAL SINGH,"Certified Buyer, Joya",3 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Very Good,"I liked this mobile very much. You can also buy this mobile. The pencil given in it is very good, that is why I bought this mobile.",Waseem Ali,"Certified Buyer, Budhana",3 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Very Good,"Front display glass seems very fragile and could have given a more strong one, even my old phone from 2022 was having better protection... 🙁 rest all is very good in the phone. Hence giving this a 4*",Rohit Atchi,"Certified Buyer, Visakhapatnam",3 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Fair,Avrge phone stylus quality not good even processor lags a lot camera not up to the mark,A. karthik,"Certified Buyer, Mysuru",3 months ago,11,12,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Very Good,"Complete review after 4 days. The product looks premium. The design is good. The display is good not great. Better displays available at this price. Battery is week. If you use your phone for work or gaming, be ready to charge it twice a day. Only thing lacking is it's UI. It's feels boring/simple and outdated. Most common features are not available. Performance is 3.5 stars actually. Camera is good. Punchy colors with clear picture. Depth in photos. Overall a good product but could have been...",BIKESH SINGH,"Certified Buyer, Garulia",2 months ago,3,3,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Best in the market!,"Not sure why people say it's heating up. Please use a good and original charger. Avoid over charging. As for the phone Moto has been the best budget phones that stay good for 3-4 years since I starting using G series, I have used almost all of the G series till now. Camera, being a budget and a stock android phone it's not expected to show the dark patches on moon. It's good for day to day activities Battery is not an issue as it stayed up for almost 10 hours enough for a normal day use a...",Aarshay Ayash Bhushan Pardesi,"Certified Buyer, Raigarh District",3 months ago,2,1,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Must buy!,"Stylus system in this mobile is best the one thing that i want to say  please provide  protective case with this box  apart this  all things  are good ai features ,camera all good 👌 work,audio ,video Nice play battery backup is also ok",Flipkart Customer,"Certified Buyer, Sausar",10 days ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Brilliant,Phone has Killing looks. Performance is best. The camera is promising. Seems Motorola is working well in the camera part. Must buy from my side.,Pratik Baviskar,"Certified Buyer, Dhule",11 days ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Terrific,Good product,KUNDAN SINGH,"Certified Buyer, Chapra",19 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Best in the market!,"I was used it last 1 month, one of the best phone in this price range. Great camara quality, clean stock android experience. Premium build quality. if you bought under 25k go with this segment without any doubt😍😍",Flipkart Customer,"Certified Buyer, Mysore",1 month ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Simply awesome,Motorola Phones are always reliable. Very nice with stylus at such basic level. EAGER TO SEE AGAIN MOTO RAZR DESIGN CELLULAR FROM two decades old,KUMAR KARTIK,"Certified Buyer, Ghaziabad",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Excellent,Very nice,Flipkart Customer,"Certified Buyer, Ahmedabad",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Excellent,Really like it,siju paul,"Certified Buyer, Palakkad",2 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Worth every penny,Ex,Ubed  Jamal,"Certified Buyer, Moradabad",2 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Terrific,Ok good,Flipkart Customer,"Certified Buyer, Tiruppur",2 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Fabulous!,Very nice phone specially Stylus and camera 🤳📸,Rashad Aqeel,"Certified Buyer, Lakhimpur",2 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Highly recommended,"Phone is simple to look but fully loaded with features... After full using of 15days, my opinion..... 1. Battery is very good with full time internet and wifi connection along 2 active SIMs... charge stay 2days easily.... 2. Phone and internet speed is too good along BSNL SIM..... 3. Camera is extraordinary and pictures taken are really outstanding.... 4. Stylus along with phone helps me lots for certain note down and also making fun.... 5.Phone charging speed is very good with it's own fast ...",PINAKI NATH DUTTA,"Certified Buyer, Presidency Division",2 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Worth every penny,Best phone in this budget with stylus,Flipkart Customer,"Certified Buyer, Bagalkot",2 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Awesome,Good camera rendering with the help of AI,Debopriyo Das,"Certified Buyer, Maldah District",2 months ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Mind-blowing purchase,Great phone and performance,Ashok Bishnoi,"Certified Buyer, Nokha",2 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Simply awesome,The overall device is Great but it losses battery much quickly. Also stylus features are grea,Kesh Kumar,"Certified Buyer, Lucknow",2 months ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Classy product,Good,Praveen Raykar,"Certified Buyer, Davanagere",3 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Super!,VERY NICE COLOUR Camera Very Smooth,sameer kirarrt,"Certified Buyer, Vidisha",3 months ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Worth every penny,Best phone with stylus,Parkash Khatik,"Certified Buyer, Srinagar",3 months ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Wonderful,Thanks for good mobile,H Shyam Shyam,"Certified Buyer, Dharwad",3 months ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Brilliant,Good handset with stylus in this price range,Flipkart Customer,"Certified Buyer, New Delhi",3 months ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Brilliant,Very nice mobile speaker  quality lajawab,Flipkart Customer,"Certified Buyer, Jagraon",3 months ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Terrific purchase,Nice mobile with a stylus in this price segment. Hope lag and glitches will be controlled in the coming updates.,Pramod P,"Certified Buyer, Visakhapatnam",3 months ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Best in the market!,This phone is very comfortable It's now very heated problem,Suneel  Kumar,"Certified Buyer, Greater Noida",3 months ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Fabulous!,Verry nice product nice camera software well optimise Dolby Atmos perfect working with this phone audio quality is very very very good audio setting is awesome.,Vijay Pandya,"Certified Buyer, Rajkot",3 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Awesome,Its good for this price,Harish A,"Certified Buyer, Tiruchirappalli",3 months ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Worth every penny,Wow nice phone look wise and a little disappointed with the battery it drained fast but you can use battery saver mode it will work nicely and it heats up while charging and video call.... overall good working phone for normal users and not for heavy gammer... it's plus point is it's stylus.,FlipkartNirmala  CustomerGautam,"Certified Buyer, North Twenty Four Parganas District",3 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Worth every penny,For professional users it's really an amazing product. Using all features still manges to hold on battery till 50-60 % ( I am not a gaming person). It's wifi and bluetooth connectivity is awesome. Stylus amazing. First 2 had battery heating issue but later it's not showing such heating problem. Thanks Moto for good product.,Flipkart Customer,"Certified Buyer, Pune",3 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Highly recommended,"Stylus is nice ,AI features are amazing ,nfc support is excellent, motorola launching stylus mobile in india 1st time in mid range is amazing ,earlier motorola launched stylus midrange devices in other countries except india , display is excellent ,audio is loud and excellent , optimization of proper hardware and software is excellent , excellent mobile for those who watch ott and videos on mobile ,stylus is good but palm rejection is not available till now ,not for heavy gamers ,68 w charger...",kishan sugandh,"Certified Buyer, Thane",3 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Terrific,Marvelous mobi,Satish Devganiya,"Certified Buyer, Valsad District",3 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Wonderful,"For the price, its a great phone. Not comparable to any other phone in the same price range. The stylus makes it different and absolutely worth it. Delivery experience of flipkart could use a little improvement. They ruin the experience",Sunil Sharma,"Certified Buyer, Patiala",3 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Highly recommended,"Worth the product, touch is butter like feels, performance awesome, camera n stylus great at this segment",Kathiravan  Duraisamy,"Certified Buyer, Perambalur",3 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Just wow!,Very useful for professionals,Yogesh  Parte,"Certified Buyer, Mandla",3 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Wonderful,Nice phone in this segment. Value for money. Stylus is useful,Saugandhik,"Certified Buyer, Pune",3 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Just wow!,If you are a casual user just blindly go with this. My unit is not getting heat and no camera UI lags. It's been 3 days and will update my review after few days,Flipkart Customer,"Certified Buyer, Nellore",3 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Mind-blowing purchase,"A very good mobile for day to day usages. Targeted audiences are regular users who focus on lag free entertainment with good audio,battery and network capabilities. Don't go for big games.. it will hang and get heated terribly. Casual games like candy crush...etc are no issues at all. Camera dept. lag behind.. just a little bit. Yes.. Motorola please give cover and screen guard pre applied. It isn't available in the market. Rest.. a good phone.",Shishir Shetye,"Certified Buyer, Pune",3 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Classy product,super quality product,DHEERAJ PRAJAPATI,"Certified Buyer, Farukhabad",3 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Perfect product!,The phone is awesome Camra is good,Gopal Krishan  Sharma,"Certified Buyer, Noida",3 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Wonderful,Got the phone in same day when sale started. Phone is looking good. Camera and performance is also nice. Battery should have been given more. Most of them are buying this phone for stylus pen which is major highlight of this phone.,Flipkart Customer,"Certified Buyer, Bengaluru",3 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Classy product,good,sunil kumar pandey,"Certified Buyer, New Delhi",3 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Awesome,Very Good,Anand Sanchania,"Certified Buyer, Rajkot",3 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Fair,I feel personally phone should be 6.1inch display size is so big in hand feels heavy,K n Siddartha,"Certified Buyer, Kadapa",3 months ago,2,1,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Does the job,Pros: -Good design looks good but cheap material is used so anyone can say the price. -stylus really works good -camera is good in well-lighted environment -handy design -audio jack -loud sound - Cons Stylus is gimmicy does have much features Camera doesn't work good on night time Battery drains Charger is very slow Major software improvement is required Tends to lag while performance,Abhijeet B,"Certified Buyer, Pune",2 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Fair,A very average phone all the features are there but the processor is very weak to perform that and if it performs then the whole phone lags.,alla lalit,"Certified Buyer, Visakhapatnam",2 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Nice,Phone gets over heated Sometimes hanging Camera Top Notch Voice clarity less during calls,Ashok kumar  V,"Certified Buyer, Chennai",2 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Nice,Phone lags,Smit Doshi,"Certified Buyer, Mumbai",2 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Fair,Battery gets drain quickly,Umesh K,"Certified Buyer, Dombivli",2 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Fair,Battery drained very fast and  heating  issue,Ishan Dash,"Certified Buyer, Ranchi",2 months ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Does the job,Good Camera and Display. Battery is pathetic. Drains Superfast. Performance is OK.,Suresh Sahu,"Certified Buyer, Delhi Division",2 months ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Does the job,Phone features looks good.but heating for using mobile after 15min.and also observed that battery draining faster than my vivo phone,Flipkart Customer,"Certified Buyer, Mannargudi",3 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Nice,"Negatives -Moto ai to image converter has limit restriction -Camera could be better at this price point -Heating issues -facing lag and slow after 1day of usage -speakers are bad, audio clarity is not that clear Positive -Speed charging -Stylus is pretty decent -display is good",Important S,"Certified Buyer, Bangalore Division",3 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Nice,Overall it is ok. But has heating issue. I doubt the durability if it continue to heat like this.,Birendra Bijay,"Certified Buyer, Hyderabad",3 months ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Decent product,All good including display but because of the colour saturation issue the product looks like a cheap chinese mall. How can an international brand miss this simple aspect. Hope the issue will get resolved with a software update. Otherwise it's a total waste of money for the buyer.,VENUGOPAL CH,"Certified Buyer, Hyderabad",3 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
